Season,Moisture,Type,Slope,Stress,Construction,Mining,Deforestation,Class
Winter,69,Clayey,yes,yes,1,1,0,1
Winter,71,Clayey,yes,yes,1,1,1,1
Mansoon,60,Alluvial,No,Low,0,0,0,0
Mansoon,61,Alluvial,No,Low,0,0,1,0
Mansoon,62,Alluvial,No,Low,0,1,0,0
Mansoon,64,Alluvial,No,Low,0,1,1,0
Mansoon,66,Alluvial,No,Low,1,0,0,0
Mansoon,68,Alluvial,No,Low,1,0,1,0
Mansoon,70,Alluvial,No,Low,1,1,0,1
Mansoon,72,Alluvial,No,Low,1,1,1,1
Mansoon,74,Alluvial,No,yes,0,0,0,1
Mansoon,76,Alluvial,No,yes,0,0,1,1
Mansoon,78,Alluvial,No,yes,0,1,0,1
Mansoon,80,Alluvial,No,yes,0,1,1,1
Mansoon,82,Alluvial,No,yes,1,0,0,1
Mansoon,84,Alluvial,No,yes,1,0,1,1
Mansoon,86,Alluvial,No,yes,1,1,0,1
Mansoon,88,Alluvial,No,yes,1,1,1,1
Mansoon,90,Alluvial,yes,Low,0,0,0,1
Mansoon,60,Alluvial,yes,Low,0,0,1,1
Mansoon,61,Alluvial,yes,Low,0,1,0,1
Mansoon,62,Alluvial,yes,Low,0,1,1,1
Mansoon,64,Alluvial,yes,Low,1,0,0,1
Mansoon,66,Alluvial,yes,Low,1,0,1,1
Mansoon,68,Alluvial,yes,Low,1,1,0,1
Mansoon,70,Alluvial,yes,Low,1,1,1,1
Mansoon,72,Alluvial,yes,yes,0,0,0,1
Mansoon,74,Alluvial,yes,yes,0,0,1,1
Mansoon,76,Alluvial,yes,yes,0,1,0,1
Mansoon,78,Alluvial,yes,yes,0,1,1,1
Mansoon,80,Alluvial,yes,yes,1,0,0,1
Mansoon,82,Alluvial,yes,yes,1,0,1,1
Mansoon,84,Alluvial,yes,yes,1,1,0,1
Mansoon,86,Alluvial,yes,yes,1,1,1,1
Winter,50,Alluvial,No,Low,0,0,0,0
Winter,51,Alluvial,No,Low,0,0,1,0
Winter,52,Alluvial,No,Low,0,1,0,0
Winter,53,Alluvial,No,Low,0,1,1,0
Winter,54,Alluvial,No,Low,1,0,0,0
Winter,55,Alluvial,No,Low,1,0,1,0
Winter,56,Alluvial,No,Low,1,1,0,0
Winter,57,Alluvial,No,Low,1,1,1,0
Winter,58,Alluvial,No,yes,0,0,0,0
Winter,59,Alluvial,No,yes,0,0,1,0
Winter,60,Alluvial,No,yes,0,1,0,0
Winter,61,Alluvial,No,yes,0,1,1,1
Winter,62,Alluvial,No,yes,1,0,0,0
Winter,63,Alluvial,No,yes,1,0,1,0
Winter,64,Alluvial,No,yes,1,1,0,0
Winter,65,Alluvial,No,yes,1,1,1,0
Winter,66,Alluvial,yes,Low,0,0,0,0
Winter,67,Alluvial,yes,Low,0,0,1,0
Winter,68,Alluvial,yes,Low,0,1,0,0
Winter,69,Alluvial,yes,Low,0,1,1,0
Winter,70,Alluvial,yes,Low,1,0,0,0
Winter,51,Alluvial,yes,Low,1,0,1,0
Winter,53,Alluvial,yes,Low,1,1,0,0
Winter,55,Alluvial,yes,Low,1,1,1,1
Winter,57,Alluvial,yes,yes,0,0,0,1
Winter,59,Alluvial,yes,yes,0,0,1,1
Winter,61,Alluvial,yes,yes,0,1,0,1
Winter,63,Alluvial,yes,yes,0,1,1,1
Winter,65,Alluvial,yes,yes,1,0,0,1
Winter,67,Alluvial,yes,yes,1,0,1,1
Winter,69,Alluvial,yes,yes,1,1,0,1
Winter,71,Alluvial,yes,yes,1,1,1,1
